word,definition,example_sentence,cefr_level
Hello,"A common English greeting used when meeting someone.","Hello! How are you today?",A1
Good morning,"A greeting used in the morning before noon.","Good morning! Did you sleep well?",A1
Goodbye,"What you say when leaving or ending a conversation.","Goodbye! See you tomorrow.",A1
Thank you,"An expression of gratitude or appreciation.","Thank you for your help.",A1
Please,"A polite word used when making a request.","Please pass the salt.",A1
Sorry,"An expression of apology or regret.","Sorry, I was late.",A1
Yes,"A word used to express agreement or confirmation.","Yes, I understand.",A1
No,"A word used to express disagreement or refusal.","No, that is not correct.",A1
Water,"A clear, tasteless liquid essential for life.","Please give me a glass of water.",A1
Food,"Any substance that is eaten to provide energy and nutrition.","This food smells delicious.",A1
School,"A place where students go to learn.","I go to school every day.",A1
Work,"A job or place of employment; also the activity of doing a job.","I go to work at 8 AM.",A1
House,"A building where people live.","My house has three bedrooms.",A1
Family,"A group of people related by blood or marriage.","My family lives in Jakarta.",A1
Friend,"A person you know well and like.","She is my best friend.",A1
Teacher,"A person whose job is to instruct or educate others.","Our English teacher is very kind.",A1
Student,"A person who is studying at a school or university.","Every student must bring a pencil.",A1
Book,"A written or printed work consisting of pages bound together.","I am reading an interesting book.",A1
Pen,"A writing instrument that uses ink.","Can I borrow your pen?",A1
Table,"A piece of furniture with a flat top supported by legs.","Put your bag on the table.",A1
Understand,"To know the meaning of something; to comprehend.","Do you understand the question?",A2
Practice,"To do something repeatedly in order to improve a skill.","I practice English every evening.",A2
Improve,"To become or make something better.","I want to improve my vocabulary.",A2
Remember,"To bring something back into your mind; to not forget.","Remember to bring your homework.",A2
Forget,"To fail to remember something.","I forgot my umbrella at home.",A2
Important,"Having great significance or value.","It is important to sleep well.",A2
Difficult,"Not easy; requiring effort or skill.","This exercise is very difficult.",A2
Easy,"Not difficult; requiring little effort.","The first question was easy.",A2
Interesting,"Arousing curiosity or attention; holding your interest.","The lesson was very interesting.",A2
Boring,"Not interesting; making you feel bored.","The lecture was a bit boring.",A2
